-54116.3	-28309	-4019.51	-142839	-4816.1	24083.9	-7526.28	63559.4	113065	24790.9	
37887.4	38938	50550.1	50144.2	-20224.2	69554	46875.9	-41061.3	-131940	-75949	
-87033.6	-40349.6	51081.7	132207	68644	91372.2	10528.1	23951.1	-327002	-28638.5	
63918.4	-26117.1	281150	58914.2	-68044.8	-65734	14647.7	76874	-53341.3	-94809.6	
-126462	14634.2	57683.4	-41323.1	3070.37	2239.05	-50222.4	-44642.5	130204	150606	
-3522.21	-57725.1	84930.4	863.032	-86257.5	89892.3	61868.5	49222.8	339299	97489.6	
-23567.5	13263.2	63144.9	72936.4	10086.9	-37504.5	-1588.03	-89243.6	-56826.8	-11362.8	
84976.2	84523.7	1965.63	-117995	6578.89	85778.9	30452.2	-16479.5	-45814.5	-7272.72	
-3243.76	15786.2	64985.6	95951.1	121226	-70573.5	-11689.3	45876.6	-74852.6	-108987	
-35771.4	-11941	-23583.1	-72666	-80047.8	-8662.25	21521.8	80106.7	3526.26	39639.9	
-49885	45086.6	-197303	-60344.2	230427	133649	56978.4	178246	95095.8	-23433	
-27042	52369.9	86599.5	-34885.8	-36470	-4457.32	36499.2	52756.8	-1927.84	76363.8	
-13255.5	9304.92	51672	-19141.9	-63871.8	54098.5	68779.3	-17631.5	-99804.8	30629.8	
9929.43	-40903.3	98543	-71427.6	-62760.2	-27178.8	26591.1	-129968	-163987	38017.6	
33372	103721	41973.3	-153362	-40928.3	95640.2	46123.8	92140.8	37992.8	-38843.6	
11342.9	-63503.2	-60570	-583.054	-5258.07	-185157	-58188.3	203149	193118	-14067.5	
82827.5	60651.2	26080	-4066.59	17209.7	27972.8	51501.1	-53511	-50883.6	-84647.6	
-18893.5	48604.8	16702.3	-111415	33349.6	6788.87	38841.8	68692.8	228645	148346	
-20980.8	20018.5	-8872.65	-182476	66603.8	110076	19396.4	-96821.7	-113847	44273	
-17521.4	124859	177203	36017.1	243309	55937	-15735.6	-63070.1	110410	56438.3	
80923	100409	28553.1	-55910.8	-301546	-71750.9	-40111.7	-96336.9	27361.1	16602.4	
38193.3	29593.3	-108392	-6252.72	28391.5	19139.4	13994.8	14418.6	-58530.5	36837.1	
-92285.7	-73075.1	116172	222672	7126.02	7390.09	119823	12231	130170	121171	
-47509.8	-33372.5	-6360.63	14308.5	140497	212862	132789	132090	50008.1	-43204.5	
-57541.4	-76130.8	-112540	181276	38299.5	-103764	-35951.6	-94575.8	-210862	-32957.3	
-57658.9	23034.8	-56384.7	182223	225748	109184	76624.8	-1741.93	102933	194213	
11421.1	-62237.2	-57693.8	-80054.9	17681	-35865.8	-86626	154468	94187.8	-33594.8	
