ymin   ymax   ptlow   pthi   xs   xserr_low    xserr_high   uncor_error   npcor   npcorerr   lumierr   unf_err_low   unf_err_hi    jec_src_low_0  jec_src_high_0  jec_src_low_1  jec_src_high_1  jec_src_low_2  jec_src_high_2  jec_src_low_3  jec_src_high_3  jec_src_low_4  jec_src_high_4  jec_src_low_5  jec_src_high_5  jec_src_low_6  jec_src_high_6  jec_src_low_7  jec_src_high_7  jec_src_low_8  jec_src_high_8  jec_src_low_9  jec_src_high_9  jec_src_low_10  jec_src_high_10  jec_src_low_11  jec_src_high_11  jec_src_low_12  jec_src_high_12  jec_src_low_13  jec_src_high_13  jec_src_low_14  jec_src_high_14  jec_src_low_15  jec_src_high_15
0.0 0.5 1248 1327 3.322e-04 0.089 0.089 0.010 1.016 0.002 0.022 0.008 0.009 0.055 0.057 0.066 0.070 0.054 0.057 0.019 0.019 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.002 0.002 0.006 0.006 -0.002 -0.002 0.007 0.007

0.5 1.0 56 64 1.248e+05 0.007 0.007 0.010 1.282 0.055 0.022 0.021 0.023 0.025 0.026 0.014 0.014 -0.015 -0.015 0.034 0.035 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.001 -0.001 0.012 0.012 0.053 0.056 -0.026 -0.025 0.032 0.033
0.5 1.0 64 74 6.011e+04 0.010 0.010 0.010 1.236 0.044 0.022 0.018 0.020 0.025 0.026 0.010 0.010 -0.012 -0.012 0.032 0.033 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.001 -0.001 0.011 0.011 0.047 0.049 -0.022 -0.022 0.029 0.030
0.5 1.0 74 84 2.953e+04 0.014 0.014 0.010 1.195 0.035 0.022 0.016 0.017 0.026 0.026 0.009 0.009 -0.009 -0.009 0.030 0.031 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.001 -0.001 0.009 0.009 0.041 0.043 -0.019 -0.019 0.027 0.028
0.5 1.0 84 97 1.488e+04 0.017 0.017 0.010 1.161 0.027 0.022 0.014 0.015 0.026 0.026 0.010 0.010 -0.006 -0.006 0.028 0.029 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.001 -0.001 0.008 0.009 0.036 0.038 -0.017 -0.016 0.025 0.026
0.5 1.0 97 114 6.675e+03 0.006 0.006 0.010 1.131 0.020 0.022 0.012 0.013 0.026 0.027 0.011 0.011 -0.003 -0.003 0.026 0.027 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.000 -0.000 0.007 0.007 0.031 0.032 -0.014 -0.014 0.023 0.023
0.5 1.0 114 133 2.797e+03 0.008 0.008 0.010 1.107 0.016 0.022 0.010 0.011 0.026 0.027 0.014 0.014 -0.000 0.000 0.024 0.025 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.000 -0.000 0.006 0.006 0.027 0.028 -0.012 -0.012 0.021 0.022
0.5 1.0 133 153 1.229e+03 0.011 0.011 0.010 1.089 0.012 0.022 0.009 0.010 0.027 0.027 0.016 0.016 0.003 0.003 0.022 0.023 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.000 -0.000 0.005 0.005 0.024 0.025 -0.011 -0.011 0.019 0.020
0.5 1.0 153 174 5.756e+02 0.015 0.015 0.010 1.075 0.010 0.022 0.008 0.009 0.027 0.028 0.018 0.018 0.005 0.005 0.020 0.021 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.000 -0.000 0.005 0.005 0.021 0.022 -0.009 -0.009 0.018 0.018
