49017.7	49161.5	-25737.6	-40053	83277.6	-36157.6	46387.2	99316	34291.4	-47100.4	-21519.1	115261	196811	38861.4	11173.8	
28273.7	88903.6	49039.2	-133799	-152479	77618.5	66416.9	-2955.67	-9395.15	-26070	-68447.6	-130077	-19100.3	72180.4	-14809.3	
-52652.3	66985.7	72028	-73829.2	-120574	-314493	-342144	-136469	-60802.3	-76095.2	-25399.1	12066.1	104957	35256	-97675.6	
-34163	17085.8	34606.5	-142694	-44399.4	-39832.8	-108225	-122365	-88479.8	-79776.9	-23138.3	89822.3	158058	21168.3	-41039.9	
83454.6	58505.4	-1438.61	120218	253997	299518	258517	192591	84644.2	52075.8	44737.1	-7670.47	9632.51	-44982.4	16862.5	
-75004.2	-75569.3	-66222.6	-43380.4	65237.9	9403.31	31302.3	63014.2	8996.84	40604.1	68668.4	41225.4	-117971	-186233	-110597	
14875.9	132953	140047	13287.1	-8048.34	12285.5	-81404.6	-124467	-147984	-124699	-64840.8	-126482	-299511	-48073	-55657.5	
-15379.5	-37627.6	-57092.9	27124.1	62666.2	-43323.5	-114325	-30990.9	14673.2	6466.75	-19476.9	-75520.7	-111996	-29984.7	-14226.5	
53442.5	104466	112403	-167714	-250035	-112666	135251	51935.5	-73728.5	-39962.8	50541.1	-83892.4	29724.8	95235.9	-4183.31	
-44510.3	-25085.3	18541.3	132125	209468	191598	43300.7	27516.6	36426.9	44662.4	-674.258	-39718	-10148.7	2753.54	-42144.2	
38490.4	-41754.7	-60071.9	-8241.46	-72364.9	-120236	-129161	-18849.3	82384	93505.3	72745.3	21503.1	-52345.8	12382.7	55906.3	
21061	56479	90840.6	165287	131483	89268.5	-34979.7	-19025.7	19397.6	49214.2	35956	-22552	-98436.9	-19866.4	-12803	
-37107.4	-57742.3	-42714.9	-44075.7	-8580.52	28092.9	10044.5	804.002	49447	84732.2	48518.4	23077.4	38751.8	-10586	-27919.5	
144679	172509	34278.7	-131359	-69170.1	-68567.4	-46681.5	-21130.8	28062.6	84227.2	108881	137408	162230	46122.4	46409.4	
43983.3	54717.3	100704	98000	-6264.68	85594.3	196316	86212.7	37344.6	24607.5	56712.6	6293.8	-138000	-77978.8	14921.6	
32205.1	7451.34	7984.64	-84605.4	-133646	-314798	-162745	-85337.3	-101297	-35084.1	-3988.48	22918.7	82155.6	87408.2	78831.1	
-9905.4	33688.4	133596	128475	49439.1	102851	132703	58246	16840	36348.8	30048.3	-6420.91	69125.2	61038.1	39304.5	
-32948.9	-54636.2	-109802	-111168	112027	145362	64174	-17855.2	-36068.9	10515.4	-264.08	-155776	-237997	-6486.93	9135.7	
49431.5	71749.3	41595.8	-12934.7	37106	2683.85	28833.6	76215.9	11721.9	-18722.8	-57442.6	-34275.9	-5516.23	-82894.5	-50113.2	
-23252.1	51016.2	55999.5	110567	-37325.6	-208150	-28396.6	51090.8	-25380.8	-46381.8	-23853.3	-9233.39	22125.5	-66622.3	-91826.8	
33439.3	-26796.4	-58099.6	-16364	-52006.1	-91829.6	-35238	-19240.4	-43456.8	-32668.4	14309	-5002.12	-123479	-53300.6	43913	
