             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            628960 productio bl_bf66b     glow PD       0:00      1 (AssocGrpCpuLimit)
            628961 productio bl_f967f     glow PD       0:00      1 (AssocGrpCpuLimit)
            628962 productio bl_bf1aa     glow PD       0:00      1 (AssocGrpCpuLimit)
            628977 productio bl_55cf2     glow PD       0:00      1 (AssocGrpCpuLimit)
            628978 productio bl_95573     glow PD       0:00      1 (AssocGrpCpuLimit)
            628979 productio bl_c869e     glow PD       0:00      1 (AssocGrpCpuLimit)
            628980 productio bl_9f7b2     glow PD       0:00      1 (AssocGrpCpuLimit)
            628981 productio bl_c5878     glow PD       0:00      1 (AssocGrpCpuLimit)
            628982 productio bl_8273a     glow PD       0:00      1 (AssocGrpCpuLimit)
            628992 productio bl_b18b8     glow PD       0:00      1 (AssocGrpCpuLimit)
            628993 productio bl_792d4     glow PD       0:00      1 (AssocGrpCpuLimit)
            628995 productio bl_ec1f9     glow PD       0:00      1 (AssocGrpCpuLimit)
            628996 productio bl_d03f3     glow PD       0:00      1 (AssocGrpCpuLimit)
            629027 productio bl_68919     glow PD       0:00      1 (AssocGrpCpuLimit)
            629028 productio bl_d7133     glow PD       0:00      1 (AssocGrpCpuLimit)
            629037 productio bl_2104c     glow PD       0:00      1 (AssocGrpCpuLimit)
            629038 productio bl_e9530     glow PD       0:00      1 (AssocGrpCpuLimit)
            629074 productio bl_be642     glow PD       0:00      1 (AssocGrpCpuLimit)
            629075 productio bl_f35b3     glow PD       0:00      1 (AssocGrpCpuLimit)
            629076 productio bl_c5ae0     glow PD       0:00      1 (AssocGrpCpuLimit)
            629077 productio bl_8f03b     glow PD       0:00      1 (AssocGrpCpuLimit)
            629078 productio bl_880b1     glow PD       0:00      1 (AssocGrpCpuLimit)
            629079 productio bl_c3fb5     glow PD       0:00      1 (AssocGrpCpuLimit)
            629080 productio bl_744c5     glow PD       0:00      1 (AssocGrpCpuLimit)
            629081 productio bl_1df41     glow PD       0:00      1 (AssocGrpCpuLimit)
            629082 productio bl_d9998     glow PD       0:00      1 (AssocGrpCpuLimit)
            629083 productio bl_3b50e     glow PD       0:00      1 (AssocGrpCpuLimit)
            629084 productio bl_71341     glow PD       0:00      1 (AssocGrpCpuLimit)
            629085 productio bl_5a3b6     glow PD       0:00      1 (AssocGrpCpuLimit)
            629086 productio bl_c27d9     glow PD       0:00      1 (AssocGrpCpuLimit)
            629087 productio bl_7d82a     glow PD       0:00      1 (AssocGrpCpuLimit)
            629088 productio bl_fd589     glow PD       0:00      1 (AssocGrpCpuLimit)
            629131 productio bl_c1d40     glow PD       0:00      1 (AssocGrpCpuLimit)
            629132 productio bl_52396     glow PD       0:00      1 (AssocGrpCpuLimit)
            629133 productio bl_63d8c     glow PD       0:00      1 (AssocGrpCpuLimit)
            629134 productio bl_c7653     glow PD       0:00      1 (AssocGrpCpuLimit)
            629135 productio bl_972e8     glow PD       0:00      1 (AssocGrpCpuLimit)
            629174 productio bl_f710e     glow PD       0:00      1 (AssocGrpCpuLimit)
            629175 productio bl_a488f     glow PD       0:00      1 (AssocGrpCpuLimit)
            629176 productio bl_bdfd9     glow PD       0:00      1 (AssocGrpCpuLimit)
            629177 productio bl_bb0ae     glow PD       0:00      1 (AssocGrpCpuLimit)
            629178 productio bl_d91eb     glow PD       0:00      1 (AssocGrpCpuLimit)
            629179 productio bl_48988     glow PD       0:00      1 (AssocGrpCpuLimit)
            629180 productio bl_6d7aa     glow PD       0:00      1 (AssocGrpCpuLimit)
            629181 productio bl_988d8     glow PD       0:00      1 (AssocGrpCpuLimit)
            629182 productio bl_4cf56     glow PD       0:00      1 (AssocGrpCpuLimit)
            629183 productio bl_f8b1a     glow PD       0:00      1 (AssocGrpCpuLimit)
            629211 productio bl_7b2ab     glow PD       0:00      1 (AssocGrpCpuLimit)
            629218 productio bl_ef3ed     glow PD       0:00      1 (AssocGrpCpuLimit)
            629219 productio bl_9f020     glow PD       0:00      1 (AssocGrpCpuLimit)
            629220 productio bl_e08da     glow PD       0:00      1 (AssocGrpCpuLimit)
            629221 productio bl_05148     glow PD       0:00      1 (AssocGrpCpuLimit)
            629222 productio bl_6dc9e     glow PD       0:00      1 (AssocGrpCpuLimit)
            629223 productio bl_024c0     glow PD       0:00      1 (AssocGrpCpuLimit)
            629224 productio bl_11a63     glow PD       0:00      1 (AssocGrpCpuLimit)
            629225 productio bl_2b669     glow PD       0:00      1 (AssocGrpCpuLimit)
            629226 productio bl_7a7a6     glow PD       0:00      1 (AssocGrpCpuLimit)
            629230 productio bl_74580     glow PD       0:00      1 (AssocGrpCpuLimit)
            629231 productio bl_c05a2     glow PD       0:00      1 (AssocGrpCpuLimit)
            629232 productio bl_eda55     glow PD       0:00      1 (AssocGrpCpuLimit)
            629233 productio bl_9b139     glow PD       0:00      1 (AssocGrpCpuLimit)
            629234 productio bl_8497a     glow PD       0:00      1 (AssocGrpCpuLimit)
            629235 productio bl_9125e     glow PD       0:00      1 (AssocGrpCpuLimit)
            629236 productio bl_539ee     glow PD       0:00      1 (AssocGrpCpuLimit)
            629237 productio bl_54767     glow PD       0:00      1 (AssocGrpCpuLimit)
            629240 productio bl_45153     glow PD       0:00      1 (AssocGrpCpuLimit)
            629245 productio bl_3e4ab     glow PD       0:00      1 (AssocGrpCpuLimit)
            629246 productio bl_bdb4c     glow PD       0:00      1 (AssocGrpCpuLimit)
            629247 productio bl_b8174     glow PD       0:00      1 (AssocGrpCpuLimit)
            629320 productio bl_88820     glow PD       0:00      1 (AssocGrpCpuLimit)
            629321 productio bl_9f7d0     glow PD       0:00      1 (AssocGrpCpuLimit)
            629322 productio bl_9013b     glow PD       0:00      1 (AssocGrpCpuLimit)
            629323 productio bl_3768b     glow PD       0:00      1 (AssocGrpCpuLimit)
            629324 productio bl_52e60     glow PD       0:00      1 (AssocGrpCpuLimit)
            629325 productio bl_781fa     glow PD       0:00      1 (AssocGrpCpuLimit)
            629326 productio bl_91fd9     glow PD       0:00      1 (AssocGrpCpuLimit)
            629327 productio bl_03af3     glow PD       0:00      1 (AssocGrpCpuLimit)
            629328 productio bl_3192a     glow PD       0:00      1 (AssocGrpCpuLimit)
            629329 productio bl_e695d     glow PD       0:00      1 (AssocGrpCpuLimit)
            629330 productio bl_2e8f9     glow PD       0:00      1 (AssocGrpCpuLimit)
            629331 productio bl_aed3f     glow PD       0:00      1 (AssocGrpCpuLimit)
            629332 productio bl_930ef     glow PD       0:00      1 (AssocGrpCpuLimit)
            629333 productio bl_b14fa     glow PD       0:00      1 (AssocGrpCpuLimit)
            629404 productio bl_d1f44     glow PD       0:00      1 (AssocGrpCpuLimit)
            629405 productio bl_c7cce     glow PD       0:00      1 (AssocGrpCpuLimit)
            629406 productio bl_06025     glow PD       0:00      1 (AssocGrpCpuLimit)
            629407 productio bl_135b2     glow PD       0:00      1 (AssocGrpCpuLimit)
            629408 productio bl_b7bbc     glow PD       0:00      1 (AssocGrpCpuLimit)
            629409 productio bl_a6e9a     glow PD       0:00      1 (AssocGrpCpuLimit)
            629410 productio bl_3565d     glow PD       0:00      1 (AssocGrpCpuLimit)
            629411 productio bl_9b092     glow PD       0:00      1 (AssocGrpCpuLimit)
            629412 productio bl_cf8a2     glow PD       0:00      1 (AssocGrpCpuLimit)
            629413 productio bl_85738     glow PD       0:00      1 (AssocGrpCpuLimit)
